id,Airline,Flight,AirportFrom,AirportTo,DayOfWeek,Time,Length,Delay
146833,AA,481,DEN,DFW,4,795,115,0
455321,OH,6293,MSP,PIT,1,600,144,0
108719,US,873,PIT,CLT,2,630,92,1
436930,UA,299,DEN,MCI,7,604,103,0
44227,MQ,4242,CLE,JFK,5,775,105,0
80003,MQ,2995,DSM,DFW,7,1005,125,0
477991,EV,5550,ATL,AGS,2,815,50,0
4525,YV,2717,FAT,PHX,3,570,95,0
216477,DL,2202,LAS,ATL,1,896,232,1
516626,XE,2528,DFW,IAH,4,900,62,0
477429,WN,246,LAX,PHX,2,785,80,1
243611,XE,5890,ORD,GRR,3,481,48,1
6731,EV,5185,SAV,ATL,3,690,70,1
415880,WN,1867,BWI,SDF,5,1105,110,1
459088,AA,370,ORD,LGA,1,795,125,0
138346,OO,7049,SEA,PDX,4,360,48,0
45697,UA,823,BOS,IAD,5,851,114,0
178312,OO,6833,PDX,SEA,6,587,54,0
81852,HA,362,HNL,ITO,7,1100,51,0
481796,OO,6305,LAS,PSP,2,1017,60,0
432616,YV,7279,SYR,IAD,7,370,90,1
176042,UA,970,SAN,IAD,6,456,292,1
467065,WN,517,SMF,LAX,1,1215,75,1
399194,OO,6641,DEN,GJT,4,1114,53,1
70137,CO,332,IAH,LGA,7,478,201,1
431759,OO,6344,LAX,SAN,6,1354,54,1
186858,DL,2313,PIT,ATL,6,1132,118,0
501662,EV,5376,SYR,ATL,3,1082,163,1
534476,DL,2241,SLC,LAX,5,906,115,1
321286,WN,108,MCO,MDW,7,890,170,1
512130,EV,5530,GTR,ATL,4,667,73,0
129497,WN,2198,BWI,SLC,3,820,305,1
172468,YV,2818,PHX,DSM,5,1190,179,0
448167,9E,4015,DTW,CID,7,1200,103,1
307518,US,1205,TPA,CLT,6,1033,102,1
377092,WN,1593,BWI,PIT,3,930,60,1
368353,EV,5509,EYW,ATL,3,480,125,1
176905,XE,2388,COS,IAH,6,505,132,0
154686,DL,1957,SLC,SEA,4,1211,134,1
295156,CO,1747,SFO,CLE,5,1395,268,1
503105,WN,2991,DEN,MSY,3,1160,155,1
536336,DL,1626,FLL,ATL,5,1025,121,0
21560,EV,5343,ATL,OKC,4,535,143,1
297814,WN,1470,MDW,MSP,6,480,85,0
138729,WN,912,OAK,SNA,4,375,85,0
153564,YV,7273,ROC,ORD,4,1146,119,0
421639,9E,4179,MSP,DSM,6,615,71,0
100133,HA,265,OGG,HNL,1,1110,34,0
161196,US,2122,LGA,BOS,5,600,71,0
149336,MQ,3246,DFW,GRK,4,925,50,0
534330,DL,1668,LAX,MSP,5,900,214,1
181786,UA,260,SEA,IAD,6,786,296,0
175201,XE,2314,ELP,IAH,6,405,107,0
119401,9E,3878,CVG,SBN,2,1230,56,0
258887,US,86,OMA,PHX,4,360,175,0
7447,XE,3150,PBI,CLE,3,725,157,1
115840,EV,7114,IAD,JFK,2,1020,96,1
403362,EV,5428,LFT,MEM,5,380,83,0
318668,XE,2459,CLT,IAH,7,748,172,0
204288,WN,1116,OAK,SNA,7,1215,80,1
79171,WN,411,SFO,DEN,7,960,150,1
27714,CO,761,SAT,EWR,4,858,222,0
487527,UA,203,BOS,ORD,3,360,173,1
331326,MQ,3384,CHS,DFW,1,460,190,0
316510,MQ,4220,ORD,BNA,7,635,85,1
113987,OH,6598,LGA,MCI,2,919,219,0
166723,CO,1589,IAH,SAN,5,890,210,1
253636,US,2183,LGA,DCA,3,1020,76,0
417049,B6,488,LGB,BOS,5,1252,308,1
291496,WN,2630,MCO,MDW,5,1090,175,1
118048,WN,570,LAS,SFO,2,1140,95,1
237154,US,526,PHX,RNO,2,1065,108,0
13130,CO,551,RDU,IAH,3,1035,187,0
189155,EV,5272,MOB,MEM,7,390,76,0
188244,AA,1260,MIA,LGA,6,1335,160,0
79880,B6,747,BDL,MCO,7,996,179,0
81208,AS,3,DCA,SEA,7,1065,355,0
418475,MQ,4240,SPI,ORD,6,410,65,0
314612,WN,2658,SAN,LAS,7,530,70,1
488064,AA,608,SAN,DFW,3,385,185,0
404717,OH,6454,CVG,DCA,5,455,95,1
329926,US,1592,ATL,PHL,1,390,115,0
68163,DL,1506,LAX,DTW,7,345,270,1
337853,MQ,3809,ABQ,ORD,1,795,160,1
291838,UA,215,DEN,BZN,5,1110,110,0
306884,OH,6756,CLT,DTW,6,995,120,0
195993,YV,2662,STL,CLT,7,770,111,1
96462,HA,334,HNL,OGG,1,915,37,1
4320,WN,200,DEN,SJC,3,560,170,0
142577,OH,6266,IAD,DTW,4,573,107,0
384098,9E,3959,ERI,DTW,4,345,65,1
324649,MQ,2789,DFW,SGF,7,1065,75,1
270017,9E,4224,DTW,LAN,4,935,49,0
462592,UA,329,DSM,DEN,1,980,120,1
146794,XE,2354,SDF,CLE,4,790,64,0
250594,AA,1825,DCA,ORD,3,860,125,0
315479,WN,2927,TPA,CMH,7,580,135,1
466341,AA,1725,IND,DFW,1,1175,145,0
331461,WN,512,SAN,LAS,1,465,70,0
419449,B6,556,RSW,EWR,6,480,158,1
426301,DL,2111,ATL,DFW,6,890,148,0
240092,OO,6488,ORD,HPN,2,1257,122,1
313825,9E,4212,LAN,DTW,7,495,60,0
361135,AA,354,ORD,LGA,2,1055,125,1
266957,AA,548,ORD,BOS,4,775,135,0
363258,EV,7078,LGA,IAD,2,1169,84,1
213142,FL,892,LAX,MKE,1,720,240,1
289942,WN,329,STL,DEN,5,1015,150,1
488275,XE,2719,GRK,IAH,3,390,60,0
422007,UA,478,SFO,PDX,6,635,115,0
179867,US,146,PHX,LIH,6,675,412,1
475152,OO,4728,SLC,MFR,2,669,118,0
239305,UA,505,MCI,DEN,2,1190,115,0
375265,OH,6477,DTW,PWM,3,835,120,1
97271,WN,186,HOU,JAN,1,960,65,0
473206,XE,2621,SDF,CLE,2,567,68,0
201215,CO,227,BWI,IAH,7,1048,212,1
183129,WN,583,PHX,SLC,6,870,100,1
210188,EV,5381,MEM,LIT,1,570,56,1
205689,DL,2320,PBI,ATL,1,345,113,0
340087,OO,4741,IDA,SLC,1,912,60,0
282606,WN,3576,FLL,PVD,5,630,175,0
86537,DL,519,RAP,MSP,1,405,100,0
322042,WN,1308,HOU,STL,7,930,115,1
4007,US,2164,DCA,LGA,3,540,83,0
460761,EV,4976,ATL,FAY,1,885,77,0
491592,MQ,4016,ORD,FWA,3,560,55,0
28542,DL,2602,MSY,ATL,4,900,92,0
77054,WN,2992,STL,BNA,7,845,60,1
523082,CO,1029,CLE,SAN,4,1260,299,0
86814,DL,2298,SRQ,ATL,1,420,105,0
451230,WN,2808,PDX,SLC,1,390,105,1
341066,US,128,SJC,PHX,1,965,107,1
320113,EV,5153,MYR,ATL,7,828,92,1
527937,HA,15,SAN,HNL,5,550,365,0
40655,US,996,CLT,PIT,5,590,87,0
339677,YV,1047,LIH,HNL,1,890,29,0
410554,AS,22,SEA,ORD,5,765,245,1
510551,WN,3744,MDW,LAS,4,585,245,0
262000,UA,106,LAX,ORD,4,518,243,1
194514,UA,339,DEN,SEA,7,693,183,0
358690,DL,1873,DTW,MEM,2,930,129,1
79465,WN,488,LIT,STL,7,975,70,0
113329,AA,590,SAN,ORD,2,885,235,0
194019,AA,437,DCA,MIA,7,670,160,1
174295,AA,1631,MSY,MIA,6,360,105,0
507576,WN,964,MHT,PHL,4,430,95,0
78160,EV,5306,ATL,SBN,7,905,111,0
215458,WN,370,DEN,PHL,1,840,220,1
164449,CO,1588,SAN,IAH,5,770,187,1
32649,OH,6314,JAX,DCA,4,1115,114,0
266039,YV,2714,FAT,PHX,4,723,96,1
216035,MQ,3738,ORD,EWR,1,875,144,0
241110,EV,7100,CAE,ORD,3,360,128,1
536212,UA,403,BDL,ORD,5,1018,164,1
191575,OH,6257,MSP,CVG,7,535,120,0
514019,UA,197,IAD,SEA,4,765,354,0
16668,OH,6440,CVG,MSN,3,1240,89,0
429019,DL,1887,PWM,ATL,6,1055,194,0
512290,US,163,SAN,CLT,4,675,267,0
424028,WN,2390,LAS,BWI,6,750,270,0
315668,UA,178,LAX,ORD,7,592,241,1
486597,OO,4770,SLC,CPR,2,1310,72,0
301078,XE,2094,CRP,IAH,6,660,62,1
153571,YV,7288,ORD,BTV,4,1148,116,1
23148,F9,234,SNA,DEN,4,618,129,0
427923,B6,139,JFK,RSW,6,990,203,0
100420,AA,408,ORD,PHL,1,1130,115,0
322520,B6,1404,SFO,AUS,7,960,201,0
439365,DL,2383,ATL,JAX,7,730,70,0
452965,FL,1151,RSW,IND,1,480,156,0
494351,9E,3838,MSN,MSP,3,702,80,1
247386,9E,4003,BHM,MEM,3,685,74,0
259066,FL,989,PIT,ATL,4,370,120,0
529578,MQ,2746,BRO,DFW,5,640,95,1
487185,9E,4391,MBS,DTW,3,345,56,0
497755,CO,687,MCO,IAH,3,885,155,1
381112,WN,306,DEN,OMA,3,1140,80,1
7008,DL,2093,MSP,SNA,3,705,237,0
358860,AA,2004,ORD,MIA,2,940,185,1
136492,DL,2675,DCA,MCO,3,1200,148,0
143956,DL,2076,MCO,LGA,4,645,154,0
512578,DL,2860,MIA,ATL,4,690,122,1
72601,WN,1302,TUS,LAS,7,610,80,0
502613,9E,3678,MEM,BNA,3,1140,62,1
532135,XE,2188,RIC,EWR,5,775,92,0
179172,WN,1861,MCI,BNA,6,635,85,0
402238,US,1940,CLT,ALB,4,1335,112,1
353388,DL,2411,ATL,DFW,2,655,160,0
137169,MQ,4295,ORD,FWA,3,1260,55,0
398434,UA,573,SFO,SEA,4,1074,133,0
202857,XE,2144,ROC,CLE,7,1135,67,1
163919,DL,1267,DTW,AUS,5,740,202,1
426479,B6,1207,HPN,RSW,6,900,189,0
279644,WN,1603,DAL,AUS,5,480,55,1
228864,EV,7085,GSP,IAD,2,618,82,0
88961,B6,583,HPN,FLL,1,525,179,0
85286,UA,576,SEA,DEN,1,331,159,1
404957,F9,326,MKE,BOS,5,470,133,0
506447,XE,2579,CAE,IAH,4,375,171,0
300166,EV,5510,ATL,ILM,6,610,88,0
15483,CO,1830,IAH,PBI,3,1160,142,1
252086,EV,5307,HOU,ATL,3,937,122,1
280402,B6,1211,BOS,BUF,5,520,93,1
285604,WN,3309,DEN,IND,5,785,145,1
197131,OO,6987,DSM,ORD,7,831,83,0
39055,DL,1377,BOS,LGA,5,510,82,0
112344,OO,6281,AUS,ORD,2,829,155,0
196739,US,544,PHX,DFW,7,810,135,0
465094,WN,3865,MCI,PHX,1,1105,185,1
60207,AA,1499,TPA,DFW,6,715,175,0
393185,US,704,PHX,CLT,4,800,234,0
303908,DL,2439,ATL,SRQ,6,821,90,1
214374,WN,2012,BUR,PHX,1,785,80,1
519904,US,1979,PVD,PHL,4,1070,97,0
93361,CO,46,LAX,IAH,1,750,193,1
219120,HA,360,HNL,ITO,1,1036,51,0
76738,CO,547,ORD,IAH,7,830,154,1
263426,OO,7046,BOI,DEN,4,592,108,1
492613,B6,1303,JFK,IAD,3,615,73,1
293227,CO,1145,ATL,EWR,5,1185,150,0
112349,9E,3919,DTW,ERI,2,830,61,0
187700,XE,5923,ORD,LNK,6,1210,99,1
191999,WN,1439,HOU,MDW,7,560,145,0
313583,DL,2802,MIA,DTW,7,480,185,1
438335,UA,730,SNA,ORD,7,677,237,0
294302,OO,6461,LAX,YUM,5,1260,67,1
401659,AS,153,OME,ANC,4,1267,88,1
75674,B6,904,JFK,BOS,7,774,64,1
384451,UA,344,PDX,SFO,4,360,109,1
103911,US,1517,BDL,DCA,2,375,81,0
257491,EV,5492,ATL,GRR,3,1249,119,1
219431,WN,340,PHX,MCI,1,1050,150,1
389762,AA,1964,SFO,DFW,4,625,215,0
230478,MQ,4181,ORD,GRB,2,705,55,0
101686,YV,7212,ROC,IAD,1,1197,72,1
163570,WN,23,DAL,HOU,5,720,60,1
265580,F9,708,DEN,RSW,4,700,217,0
236679,FL,68,ATL,IAD,2,1043,100,1
16594,AA,1194,MIA,BDL,3,1235,175,1
481789,UA,595,OMA,DEN,2,1016,104,0
323768,XE,2611,CLE,SDF,7,1020,73,0
492530,UA,362,DEN,FSD,3,610,98,0
275742,CO,1445,CLE,IAH,4,1255,191,0
149049,DL,1250,MCI,ATL,4,910,120,1
311058,DL,1168,LAX,FLL,6,1360,285,1
360941,MQ,3973,ORD,TUL,2,1045,125,1
169404,MQ,3052,LAX,RNO,5,1030,90,0
58923,WN,2018,BWI,MHT,6,640,75,1
526074,WN,1030,SJC,LAS,5,450,85,1
263419,WN,580,SDF,STL,4,590,70,0
288852,AA,341,LGA,ORD,5,960,180,0
263981,FL,83,ATL,FLL,4,620,117,1
497693,WN,1921,PHX,STL,3,880,175,1
366630,WN,788,BWI,BOS,3,390,90,0
232802,XE,2883,BOS,CLE,2,830,122,0
194374,XE,2266,IAH,ATL,7,685,121,1
114242,XE,2474,IAH,BNA,2,930,113,0
439814,9E,4232,RIC,DTW,7,755,115,0
308359,US,155,PHL,SAN,6,1080,356,0
415360,AA,795,MIA,STT,5,1065,150,1
227877,OH,6264,CVG,XNA,2,565,125,0
405343,HA,6,HNL,LAS,5,490,345,0
531160,US,1280,RSW,DCA,5,720,130,0
189904,B6,450,FLL,BOS,7,440,179,0
341063,OO,6621,DEN,MLI,1,965,113,1
258004,OO,6819,DEN,HLN,3,1306,114,0
126193,AA,1767,SAT,DFW,3,645,70,1
416838,WN,2932,DEN,LAX,5,1205,155,1
300994,EV,5145,TUL,ATL,6,659,117,0
250416,YV,1025,KOA,HNL,3,845,40,0
143387,DL,1762,DTW,PHL,4,615,104,0
450344,DL,2096,BZN,MSP,1,360,140,1
537880,DL,1022,ATL,DTW,5,1140,122,1
171055,AA,784,MFE,DFW,5,1115,95,0
526310,CO,734,PHX,EWR,5,465,275,0
2052,YV,2904,LIT,CLT,3,442,117,0
266740,MQ,4594,RDU,LGA,4,760,100,1
522877,OO,6412,SBA,SFO,4,1241,80,0
326398,AA,1967,ORD,MCO,7,1160,160,0
2209,MQ,4110,MDT,ORD,3,450,145,0
235834,XE,2362,EWR,RIC,2,995,85,1
376393,US,1170,CLT,PIT,3,895,86,0
401666,AA,829,DFW,COS,4,1270,115,0
241470,UA,966,LAX,IAD,3,370,292,1
254110,HA,31,LAS,OGG,3,1045,375,1
54655,MQ,2943,DFW,CVG,6,390,130,0
417907,US,1772,MHT,CLT,6,360,152,0
352603,FL,840,MCO,ATL,2,614,92,0
409917,XE,2454,MEM,IAH,5,725,104,0
296835,WN,1588,SFO,DEN,6,425,155,1
507770,XE,3006,IAH,IAD,4,440,169,1
235610,WN,901,SNA,LAS,2,985,65,1
123008,MQ,2748,DFW,GSP,3,475,125,0
293345,US,1869,JAX,CLT,5,1190,88,0
249471,XE,3056,IAH,VPS,3,795,88,0
122176,AA,1109,DFW,AUS,3,430,60,0
509029,DL,1574,SAV,ATL,4,510,84,0
122554,DL,2573,ATL,MIA,3,450,115,0
184886,OH,6272,CVG,CMH,6,985,50,0
122591,US,541,DFW,LAS,3,450,178,0
347818,MQ,3685,MEM,MIA,2,370,145,0
211221,WN,9,HOU,MSY,1,620,60,0
467608,OO,6738,LAX,TUS,1,1260,79,1
275566,WN,491,BWI,ISP,4,1235,60,1
227513,WN,827,PHL,BNA,2,540,145,1
538127,DL,1861,DTW,SLC,5,1160,245,0
59504,DL,1077,MSP,TUS,6,675,200,0
504161,UA,511,JFK,LAX,3,1225,392,1
312163,US,995,DTW,CLT,7,390,103,0
416362,9E,3874,ATL,DAY,5,1155,96,1
156921,F9,71,DTW,DEN,5,385,189,0
140901,B6,219,JFK,CLT,4,490,121,0
478063,DL,2294,ATL,PHL,2,820,125,0
413582,WN,1922,LAS,SJC,5,940,85,1
456486,MQ,4559,LGA,CMH,1,660,125,0
134845,WN,748,MCO,BWI,3,1105,125,1
279018,DL,1800,JAX,ATL,5,450,90,0
171123,AA,1121,DFW,SAN,5,1120,195,1
302561,OH,6552,DTW,PHL,6,740,107,0
125508,UA,410,DEN,CMH,3,605,163,0
512545,AA,2093,LGA,MIA,4,690,190,0
488232,US,680,PHX,CLT,3,390,225,0
425410,WN,1496,BWI,LGA,6,835,65,1
358771,AA,1930,MIA,BOS,2,935,190,0
178969,9E,3890,DTW,ITH,6,625,86,1
302421,9E,3822,MDT,DTW,6,735,102,0
327971,CO,1475,IAH,DFW,7,1270,65,1
335006,AS,869,SMF,OGG,1,650,335,0
483870,B6,1296,PIT,BOS,2,1125,93,1
301037,MQ,2948,DFW,LCH,6,660,70,1
402418,US,47,LIH,PHX,4,1380,364,0
453476,YV,1011,KOA,HNL,1,505,40,0
294385,B6,35,JFK,PBI,5,1270,176,0
88382,AA,1303,TPA,DFW,1,500,170,0
121168,WN,685,OMA,STL,3,375,70,0
44203,AA,1589,BNA,DFW,5,775,125,0
498515,WN,3758,OAK,SNA,3,920,80,1
216773,WN,960,BWI,PVD,1,910,70,1
103,CO,214,DFW,IAH,3,340,59,1
536643,EV,7115,IAD,CAE,5,1045,87,0
461336,9E,4123,DTW,FNT,1,915,45,1
238129,FL,124,TPA,ATL,2,1125,95,0
510847,WN,3860,SNA,PHX,4,600,70,0
407616,AA,1482,MIA,BOS,5,610,185,0
377485,XE,2492,IAH,RDU,3,950,149,0
181747,US,1179,CLT,IAH,6,785,167,0
156985,9E,3974,TVC,DTW,5,390,82,0
482087,FL,164,SJU,ATL,2,1030,240,1
75751,FL,177,ATL,RSW,7,779,106,0
327228,WN,1159,SLC,OAK,7,1205,125,1
388790,MQ,2841,DFW,DSM,4,575,110,1
432191,CO,308,PDX,IAH,7,360,233,0
293057,EV,5615,MEM,MOB,5,1175,74,0
337559,US,2035,BOS,DCA,1,780,91,0
465846,AS,485,SAN,SEA,1,1150,170,0
302003,OO,4584,RAP,MSP,6,710,94,1
174390,EV,5507,CHO,ATL,6,360,102,0
1091,US,1800,PBI,CLT,3,390,112,0
206888,CO,1178,ORD,EWR,1,405,123,1
371384,OO,6687,SFO,MRY,3,631,46,0
35366,EV,7073,IAD,CAE,4,1320,81,0
319645,FL,451,MSY,ATL,7,803,81,0
263053,XE,2395,JAN,IAH,4,570,80,0
170665,OO,7793,SUN,SLC,5,1091,67,1
465968,CO,1662,IAH,RSW,1,1155,131,1
355409,MQ,2952,DFW,SAV,2,755,135,0
163696,DL,170,LAS,SLC,5,728,86,1
212377,XE,2638,EWR,MHT,1,680,67,0
454949,WN,3065,ECP,BNA,1,580,90,0
27204,AA,1598,SEA,DFW,4,830,230,1
287321,AA,2333,ORD,DFW,5,880,155,1
116913,US,707,PHL,ORD,2,1075,150,0
519220,HA,360,HNL,ITO,4,1036,51,0
143652,OH,6286,LGA,CVG,4,629,145,1
231262,WN,37,ELP,DAL,2,745,95,0
144281,WN,2980,PHX,RDU,4,660,235,0
343376,WN,121,LAX,MDW,1,1080,230,1
477443,YV,1026,HNL,KOA,2,785,40,0
472907,AS,8,SEA,EWR,2,550,318,0
280283,AA,1487,DCA,ORD,5,515,130,1
381681,MQ,2942,DFW,CMI,3,1170,115,1
501127,WN,1424,MCI,BNA,3,1055,90,1
291292,US,1464,CLT,ORD,5,1080,124,1
155425,FL,639,BWI,DAY,4,1290,89,0
461425,OO,6815,DEN,BIL,1,916,87,1
512017,WN,3934,MSY,TPA,4,660,85,0
60669,AA,1386,SEA,ORD,6,740,250,1
234479,AA,656,BUR,DFW,2,925,180,0
483272,F9,551,DEN,SAN,2,1088,141,0
197359,AA,1479,ATL,DFW,7,845,150,0
485907,CO,1454,EWR,PBI,2,1245,186,1
42721,DL,2653,LGA,TPA,5,695,181,0
535665,WN,1291,MCO,ECP,5,980,70,1
332085,UA,471,DEN,SAN,1,500,148,0
293521,DL,2560,MIA,ATL,5,1200,119,1
156344,MQ,3748,ORD,MSP,5,360,85,0
126653,DL,1549,ATL,SFO,3,668,330,1
465251,OO,6877,LAX,SEA,1,1115,164,0
458690,OO,6574,SFO,SMF,1,775,43,1
331916,WN,897,SNA,SJC,1,490,80,1
511952,DL,2124,ATL,BWI,4,660,112,0
160782,OH,6374,ATL,ORD,5,580,132,0
531032,DL,1546,PHX,ATL,5,715,212,1
27989,OO,4781,SLC,AUS,4,872,177,1
101888,OH,6381,JFK,BOS,1,1210,96,1
240702,UA,82,LAX,JFK,2,1363,320,0
84526,MQ,3603,MIA,CHS,7,1275,100,1
103710,DL,2931,LGA,DTW,2,365,118,0
324836,UA,409,LGA,DEN,7,1075,280,1
95820,XE,5929,ICT,ORD,1,884,110,0
235457,9E,3713,SWF,DTW,2,980,118,1
493569,AA,720,DFW,LGA,3,665,195,1
355666,WN,684,PVD,PHX,2,770,365,0
217811,DL,2002,RSW,ATL,1,970,108,0
64540,DL,2231,LGA,DTW,6,985,123,0
179957,US,1497,CLT,MYR,6,680,51,1
281236,XE,2235,PNS,IAH,5,561,104,1
190957,DL,2222,ATL,CLT,7,505,86,0
535716,EV,5173,ECP,MEM,5,985,92,1
508490,UA,361,LGA,DEN,4,480,276,1
499496,MQ,2714,SAV,DFW,3,975,180,0
424196,WN,813,TPA,PHL,6,760,150,1
44038,UA,598,DEN,MCI,5,764,97,0
340414,US,1841,PVD,PHL,1,930,106,1
473076,AS,365,SMF,SEA,2,560,115,0
291063,OO,3074,MKE,IND,5,1070,62,0
254706,OO,6537,ORD,MKG,3,1075,51,0
475661,OO,4680,SLC,EUG,2,692,123,0
291061,MQ,2899,VPS,DFW,5,1070,135,1
539183,UA,363,IAD,ORD,5,1325,132,0
15186,DL,1749,ATL,SFO,3,1145,332,1
126281,AS,75,SEA,JNU,3,650,155,0
177054,YV,2931,PHX,SLC,6,510,100,0
32879,OO,6370,ONT,SFO,4,1130,85,0
259756,WN,1766,PHX,SLC,4,405,100,1
253123,CO,822,MSY,IAH,3,992,81,0
17171,9E,3709,DTW,GRB,3,1300,90,0
10626,DL,2614,SEA,MSP,3,900,195,0
6189,WN,650,MDW,MHT,3,660,120,0
384159,HA,218,HNL,KOA,4,352,41,0
110271,WN,1016,MSP,MDW,2,715,100,0
269116,WN,1930,SMF,BUR,4,885,70,0
403475,9E,4338,RIC,JFK,5,390,95,0
51271,CO,1748,IAH,FLL,5,1145,144,1
373686,MQ,3947,ORD,TYS,3,750,90,1
36255,MQ,4015,JAX,ORD,5,365,160,0
307993,CO,59,IAH,DEN,6,1060,152,1
84963,FL,988,ATL,PIT,7,1335,98,1
336667,WN,3682,FLL,AUS,1,730,195,0
366470,WN,1603,MAF,DAL,3,385,70,0
272798,WN,993,DEN,IAD,4,1075,185,1
157847,FL,950,FLL,BWI,5,430,145,0
82020,B6,1257,BOS,IAD,7,1110,101,0
50663,MQ,4517,LGA,CRW,5,1110,110,1
35239,9E,3881,ATL,TLH,4,1305,69,1
351602,OH,6575,MEM,MCI,2,560,96,0
185443,WN,1556,PIT,MCO,6,1020,140,1
91952,DL,1474,MSP,LAS,1,680,212,0
287685,WN,613,SAN,SAT,5,895,155,1
133515,XE,2396,EWR,DTW,3,1035,125,1
246879,DL,1049,ATL,SAT,3,660,163,0
44520,MQ,4071,ORD,XNA,5,790,105,0
49907,EV,7346,ATL,GSP,5,1070,60,0
509900,CO,1407,IAH,SJC,4,550,258,1
259416,CO,292,EWR,MCO,4,390,178,0
198830,AA,1509,JAX,DFW,7,921,175,0
87205,WN,807,ONT,OAK,1,435,75,0
537242,UA,317,DEN,IAD,5,1083,197,1
240631,AA,1410,DFW,TUL,2,1340,55,1
121873,AA,1352,AUS,DFW,3,420,65,0
329747,UA,132,PDX,ORD,1,381,235,0
321465,DL,319,ATL,RDU,7,900,87,1
106914,WN,1681,MDW,PDX,2,530,280,1
498808,UA,645,SJU,ORD,3,937,320,0
515354,OO,4488,SLC,STL,4,835,175,1
462491,EV,5049,ATL,MYR,1,975,73,1
191136,YV,2931,PHX,SLC,7,510,100,1
527330,CO,1508,CLE,DEN,5,520,210,1
95613,HA,245,OGG,HNL,1,872,34,0
465319,WN,1091,MSY,FLL,1,1120,105,1
40860,OO,4709,LAX,SFO,5,600,72,1
105547,US,1497,MSY,CLT,2,460,106,0
271237,DL,1877,ORD,ATL,4,996,124,0
171380,DL,2867,MEM,DTW,5,1135,113,0
255340,DL,2997,JFK,PDX,3,1110,382,1
395564,WN,3326,MCO,MSY,4,925,110,1
462293,AA,1990,MIA,MCO,1,965,60,0
371406,AA,2097,DFW,SAT,3,635,65,0
145135,AA,1355,DFW,PHX,4,705,155,0
484846,9E,3902,MSP,LAN,2,1175,97,1
80717,WN,2537,SFO,MDW,7,1040,245,1
495618,UA,908,DEN,ORD,3,770,142,1
326674,DL,2107,MSP,ORD,7,1175,87,0
258468,OO,6900,MSN,ORD,4,330,58,0
200967,US,1602,TPA,CLT,7,1035,102,1
446531,DL,1069,RDU,ATL,7,1110,94,0
308189,WN,1012,TUL,DAL,6,1070,60,1
290034,EV,7108,IAD,CHS,5,1020,101,1
129317,OO,6691,DEN,PIT,3,810,175,0
136015,WN,2357,PHL,PIT,3,1170,80,0
79248,UA,620,ORD,DCA,7,965,111,1
270462,CO,1086,IAH,MCO,4,960,139,1
53752,UA,404,SFO,IAD,5,1397,306,0
305959,EV,5593,MOB,ATL,6,940,78,1
456475,MQ,3324,SGF,DFW,1,660,90,1
455668,YV,2966,LAS,SFO,1,615,92,1
342715,B6,1309,JFK,IAD,1,1050,82,0
69218,DL,1550,LAS,MSP,7,420,193,1
154804,YV,2644,CLT,MYR,4,1220,63,1
445529,WN,2020,LAX,LAS,7,1055,65,1
45020,OH,6371,ATL,LEX,5,815,72,0
140029,DL,1984,ATL,PIT,4,445,97,0
234477,AA,434,DFW,TUL,2,925,60,0
481079,AA,1654,DFW,SNA,2,980,200,1
364257,WN,2027,DEN,GEG,2,1230,150,1
131006,WN,1055,PHL,MHT,3,900,75,0
38884,WN,1025,PHX,ELP,5,500,70,1
504606,UA,318,DEN,TUL,3,1260,97,0
460676,US,450,PHX,SLC,1,880,97,0
463217,AA,696,DFW,MIA,1,1015,165,1
262850,WN,1500,PHL,MCO,4,560,160,1
45116,WN,1015,PVD,MCO,5,820,190,1
453813,OO,6976,ORD,CLE,1,520,71,0
88279,AA,1173,STL,DFW,1,495,115,1
423525,WN,3758,SFO,LAS,6,720,90,1
281269,AS,884,KOA,PDX,5,565,335,0
239922,AS,69,KTN,JNU,2,1237,63,1
482644,WN,2795,BNA,HOU,2,1055,130,1
115100,UA,28,LAX,JFK,2,980,320,0
185505,WN,1718,SAN,LAS,6,1025,70,1
331651,CO,659,DCA,IAH,1,480,208,0
257886,DL,1794,ATL,PHL,3,1295,124,1
194456,OO,4448,SLC,GJT,7,690,67,0
68751,FL,234,RIC,ATL,7,385,107,0
268108,OO,6582,SFO,PSP,4,833,83,0
